"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",103,yandex,cpc,freemium,21654,73,16,1175803
"2023-06-01",78,yandex,cpc,prof-frontend,57138,59,10,911076
"2023-06-01",62,yandex,cpc,prof-python,33026,49,7,494446
"2023-06-01",71,vk,cpc,prof-python,2028,43,4,398823
"2023-06-01",31,yandex,cpc,base-python,12524,19,6,315101
"2023-06-01",77,vk,cpc,freemium-frontend,3160,52,5,240351
"2023-06-01",14,yandex,cpc,prof-data-analytics,10086,13,2,220264
"2023-06-01",40,yandex,cpc,base-frontend,18061,33,1,201150
"2023-06-01",13,yandex,cpc,prof-professions-brand,4818,13,2,150387
"2023-06-26",63,admitad,cpa,admitad,0,2,1,134100
"2023-06-07",3,vk,social,hexlet-blog,0,1,1,84000
"2023-06-01",49,yandex,cpc,prof-java,29490,32,1,80136
"2023-06-17",35,admitad,cpa,admitad,0,1,1,67050
"2023-06-01",55,vk,cpc,prof-java,3115,31,1,53926
"2023-06-19",37,admitad,cpa,admitad,0,1,1,45410
